datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
113,2014,48073,33017.0,30156.0,1242.0,19190.0,1221.0,2577.0,2044.0,320.0,60914.0,736.0,157000.0,Oakland,78402.1763821303,947.3027845363612,202074.09941876185
114,2015,48073,33488.0,30087.0,1517.0,19527.0,1116.0,2477.0,1971.0,296.0,62987.0,751.0,163700.0,Oakland,80974.21228857002,965.4632452524502,210447.8472008337
115,2016,48073,33832.0,30504.0,1356.0,19680.0,1056.0,2528.0,2094.0,145.0,65295.0,803.0,173100.0,Oakland,82895.5700875391,1019.4523743057495,219759.90783602145
116,2017,48073,33800.0,30345.0,1197.0,19819.0,820.0,2553.0,2088.0,175.0,70350.0,848.0,188600.0,Oakland,87450.17012075718,1054.1257180156658,234443.52643603133
117,2018,48073,34242.0,30789.0,1296.0,20441.0,797.0,2516.0,1993.0,267.0,76203.0,894.0,204000.0,Oakland,92467.38046330848,1084.8108097344957,247540.72168438157
118,2019,48073,34700.0,31025.0,1458.0,20757.0,723.0,2399.0,1800.0,314.0,78843.0,933.0,217500.0,Oakland,93968.16745092056,1111.9858482263346,259224.9967730201
119,2020,48073,34628.0,30193.0,2055.0,20725.0,518.0,2394.0,1536.0,383.0,78279.0,956.0,232900.0,Oakland,92159.01896750911,1125.5128723276832,274196.59828987176
120,2011,48075,21809.0,4619.0,16344.0,9723.0,1226.0,2717.0,720.0,1827.0,56035.0,795.0,151700.0,Oakland,75904.91897803405,1076.9056944327128,205492.5708747705
121,2012,48075,21684.0,4440.0,16495.0,9120.0,1334.0,3347.0,809.0,2400.0,54928.0,816.0,120100.0,Oakland,72896.81549169404,1082.941331219457,159388.79151894216
122,2013,48075,21246.0,4133.0,16246.0,8791.0,1437.0,3417.0,625.0,2675.0,54152.0,827.0,105400.0,Oakland,70829.47798950021,1081.6955661345228,137860.59573225962
123,2014,48075,21238.0,4279.0,16129.0,8880.0,1270.0,3264.0,637.0,2524.0,53861.0,800.0,99200.0,Oakland,69324.28706238173,1029.6769397134362,127679.94052446607
124,2015,48075,21372.0,4135.0,16404.0,9118.0,1070.0,3279.0,697.0,2477.0,52776.0,794.0,102100.0,Oakland,67847.25463574343,1020.7427652868782,131256.7208259323
125,2016,48075,21651.0,4267.0,16264.0,9579.0,917.0,3203.0,728.0,2249.0,53222.0,813.0,110700.0,Oakland,67568.23694308916,1032.1479206856466,140539.6984254626
126,2017,48075,21672.0,4245.0,16128.0,9894.0,853.0,2568.0,576.0,1713.0,55371.0,850.0,118000.0,Oakland,68830.18293896868,1056.6118635770235,146682.58812010442
127,2018,48075,22052.0,4180.0,16470.0,10074.0,759.0,2523.0,639.0,1541.0,54966.0,876.0,136000.0,Oakland,66697.66327501822,1062.9689813505795,165027.1477895877
128,2019,48075,21758.0,4416.0,15973.0,10011.0,755.0,2067.0,580.0,1257.0,57106.0,898.0,148800.0,Oakland,68061.16168147165,1070.2714809295267,177345.65296471445
129,2020,48075,21810.0,4692.0,15104.0,9676.0,1067.0,2395.0,486.0,1557.0,58276.0,931.0,161800.0,Oakland,68609.19262318836,1096.0800043274821,190489.52169730037
130,2011,48076,25215.0,9448.0,14299.0,11837.0,1636.0,2275.0,1084.0,1140.0,66326.0,880.0,147900.0,Oakland,89845.09067791712,1192.0465548437578,200345.09711521788
131,2012,48076,25141.0,9458.0,14044.0,11628.0,1761.0,2285.0,1112.0,1142.0,65662.0,879.0,127000.0,Oakland,87142.2716795735,1166.550772232724,168546.01601087136
132,2013,48076,25276.0,8500.0,15314.0,11227.0,1857.0,2719.0,1250.0,1438.0,66177.0,864.0,117500.0,Oakland,86557.88087071864,1130.090651922887,153687.09676034632
133,2014,48076,25456.0,8254.0,15677.0,11253.0,1933.0,2774.0,1360.0,1354.0,62516.0,857.0,115100.0,Oakland,80464.10445390648,1103.0414216680185,148144.76970127062
134,2015,48076,25567.0,8102.0,15781.0,11855.0,1625.0,2742.0,1154.0,1490.0,62476.0,854.0,118400.0,Oakland,80317.28589932367,1097.8769792884054,152211.51562968057
135,2016,48076,25825.0,7869.0,16354.0,11965.0,1413.0,2781.0,944.0,1662.0,63502.0,883.0,127500.0,Oakland,80619.25862162354,1121.0167453449274,161868.21634368997
136,2017,48076,25431.0,7840.0,16297.0,12386.0,1069.0,2534.0,903.0,1475.0,65344.0,920.0,143800.0,Oakland,81227.34778067884,1143.6269582245432,178753.8658616188
137,2018,48076,25220.0,7451.0,16463.0,12413.0,975.0,2604.0,638.0,1819.0,67672.0,969.0,160100.0,Oakland,82115.56724424248,1175.8184280008124,194270.92912583082
138,2019,48076,24947.0,7608.0,15950.0,12321.0,940.0,2411.0,632.0,1618.0,71139.0,985.0,171300.0,Oakland,84786.23928936035,1173.9614796387345,204162.03194123376
139,2020,48076,23822.0,7512.0,14948.0,11695.0,785.0,1989.0,686.0,1188.0,72290.0,992.0,181500.0,Oakland,85108.08110938098,1167.8962022479727,213682.6216814587
140,2011,48083,23005.0,17167.0,1000.0,10738.0,1030.0,2716.0,1840.0,251.0,62606.0,737.0,184500.0,Oakland,84805.9847869867,998.3389896816471,249923.397009856
141,2012,48083,23265.0,17343.0,864.0,10749.0,1232.0,3042.0,2211.0,184.0,63291.0,775.0,171000.0,Oakland,83995.63700270913,1028.5288378616165,226939.91132172444
142,2013,48083,23305.0,17422.0,968.0,10704.0,1290.0,3173.0,2247.0,174.0,63788.0,805.0,163900.0,Oakland,83433.12789914018,1052.9201097198195,214377.1502895384
143,2014,48083,23671.0,17160.0,1295.0,11213.0,1189.0,3161.0,2130.0,269.0,65547.0,813.0,165000.0,Oakland,84365.29295924574,1046.4091899837795,212370.8688158962
144,2015,48083,23307.0,16687.0,1401.0,10963.0,1099.0,2981.0,2095.0,258.0,65580.0,818.0,168400.0,Oakland,84307.69590366936,1051.596450887489,216490.02729762
145,2016,48083,23002.0,16404.0,1346.0,11202.0,981.0,2378.0,1683.0,154.0,68807.0,855.0,179100.0,Oakland,87354.24597615901,1085.469215481215,227377.23566395981
146,2017,48083,23029.0,15978.0,1322.0,11327.0,721.0,1963.0,1202.0,148.0,71624.0,896.0,197700.0,Oakland,89033.84484334204,1113.7932114882506,245755.48874020888
147,2018,48083,22981.0,15666.0,1319.0,11186.0,501.0,1625.0,996.0,170.0,74439.0,940.0,212400.0,Oakland,90326.88128168469,1140.6288156045032,257733.57493020903
148,2019,48083,22561.0,15218.0,976.0,11188.0,416.0,1878.0,1173.0,159.0,77538.0,982.0,223800.0,Oakland,92412.81747028245,1170.3859624418653,266733.58288644545
149,2020,48083,22984.0,15516.0,843.0,11902.0,376.0,1838.0,835.0,130.0,79035.0,1005.0,232800.0,Oakland,93049.0688958352,1183.201293608077,274078.86681787093
